id_persona,sexoact,fnacact,edadact,redadact,estcivil,dpto,aportante,tipo_cargo,remuneracion,aporte_armador,aporte_trabajador,aporte_total,primer_periodo,ultimo_periodo,nro_semanas,montos_aportes
593511630132,1,17/02/1963,60,5,2,2,1,1,6020.24,,481.62,481.62,201402,202306,832,191129.18
593558550132,1,17/07/1954,68,6,2,2,0,6,490.52,46.5,74.40000000000001,120.9,201803,201804,288,231.4
593588550132,1,06/07/1969,53,4,1,2,1,6,1673,,133.84,133.84,201402,202306,405,43210.24000000001
593590780132,1,13/05/1961,62,5,2,2,0,,,,,,201803,202001,556,8206.109999999999
593596100132,1,20/01/1967,56,5,1,2,1,,,,,,201405,202306,508,38430.44
593608020132,1,15/07/1970,52,4,2,2,0,6,1986.08,99.3,158.89,258.19,201505,202010,319,4698.56
593611880132,1,19/10/1964,58,5,1,2,0,,,,,,201702,201711,178,887.3199999999999
593671280132,1,22/02/1958,65,6,2,2,1,,,,,,201404,202306,492,18747.76
593698120132,1,14/04/1960,63,5,2,2,1,,109.83,,82,82,201402,202306,634,45386.98000000001
593752100132,1,24/02/1960,63,5,1,2,1,,,,,,201402,202306,413,44896.97
593853920132,1,26/09/1971,51,4,2,2,1,6,3294.32,,263.55,263.54999,201407,202306,584,88417.74999999999
593860450132,1,04/04/1972,51,4,2,2,1,6,980.4400000000001,,82,82,201402,202306,346,77548.55000000002
593988010132,1,17/06/1968,55,5,1,2,1,6,1528.99,,122.32,122.32,201406,202306,224,41675.3
594018370147,1,08/10/1993,29,2,1,19,0,,,,,,201506,201611,16,780
594182550132,1,14/07/1971,51,4,1,2,1,,,,,,201405,202306,281,26012.12
594407260172,1,23/01/1994,29,2,,19,0,6,505.49,42.5,68,110.5,201702,201702,1,110.5
594545660132,1,05/10/1972,50,4,1,2,0,,109.83,,82,82,201402,202210,328,84937.06000000001
594751400132,1,04/07/1976,46,4,2,2,1,2,3613.54,,289.08,289.07999,201504,202306,432,55905.38000000001
594768210132,1,15/08/1976,46,4,1,2,1,,2537.06,,202.96,202.96001,201611,202306,264,54854.39
594812130132,1,30/06/1973,50,4,1,2,0,,,,,,201404,202305,384,37518.95999999999
594857700132,1,28/09/1975,47,4,2,2,1,6,2873.6,,229.89,229.89,201405,202306,367,84756.17000000003
594879270132,1,10/10/1967,55,5,2,2,1,6,2215.84,,177.27,177.27,201406,202306,536,94751.81999999999
